Job titiles,Tasks,AI models,AI_Workload_Ratio,Domain
Assistant,240,1600,0.15,Administrative & Clerical
Business Relationship Manager,194,1467,0.13224267211997273,Leadership & Strategy
Distribution Manager,198,1436,0.13788300835654596,Medical & Healthcare
Administrative Assistant,286,2155,0.13271461716937355,Supply Chain & Logistics
Administrative Secretary,268,2076,0.12909441233140656,Law Enforcement
Clerical Assistant,265,2004,0.13223552894211577,Construction
Executive Administrative Assistant,279,2124,0.13135593220338984,Sales & Marketing
Order Filler,133,1021,0.13026444662095985,Hospitality
Records Clerk,222,1784,0.12443946188340807,Communication & PR
Scribe,202,1623,0.12446087492298213,Data & IT
Typist,208,1364,0.15249266862170088,Administrative & Clerical
Dishwasher,3,31,0.096774194,Leadership & Strategy
Digital Project Manager,231,1922,0.12018730489073881,Medical & Healthcare
Technical Project Manager,205,1521,0.13477975016436555,Supply Chain & Logistics
Grocer,50,377,0.13262599469496023,Law Enforcement
Finance Officer,167,1516,0.11015831134564644,Construction
Word Processor,264,1707,0.1546572934973638,Sales & Marketing
Market Research Interviewer,210,1825,0.11506849315068493,Hospitality
Pl Sql Developer,183,1686,0.10854092526690391,Communication & PR
Quantitative Developer,182,1667,0.10917816436712657,Data & IT
Statistical Programmer,187,1669,0.11204313960455363,Administrative & Clerical
Tableau Developer,188,1668,0.11270983213429256,Leadership & Strategy
Data Modeler,216,1767,0.12224108658743633,Medical & Healthcare
Database Analyst,218,1773,0.12295544275239707,Supply Chain & Logistics
Database Developer,205,1726,0.11877172653534183,Law Enforcement
Etl Developer,184,1670,0.11017964071856287,Construction
Hadoop Developer,181,1643,0.11016433353621424,Sales & Marketing
Sql Analyst,212,1761,0.12038614423622941,Hospitality
Procurement Assistant,179,1316,0.13601823708206687,Communication & PR
Receiving Associate,92,733,0.12551159618008187,Data & IT
Warehouse Associate,78,664,0.11746987951807229,Administrative & Clerical
Press Operator,84,1077,0.077994429,Leadership & Strategy
Pressman,83,1068,0.077715356,Medical & Healthcare
Printing Press Operator,93,1065,0.087323944,Supply Chain & Logistics
Automation Test Engineer,159,1547,0.10277957336780866,Law Enforcement
Automation Tester,158,1541,0.10253082414016872,Construction
QA Automation Engineer,155,1525,0.10163934426229508,Sales & Marketing
Tax Preparer,153,1263,0.12114014251781473,Hospitality
Associate,175,1298,0.13482280431432975,Communication & PR
Chief Learning Officer,162,1250,0.1296,Data & IT
Web Project Manager,217,1845,0.11761517615176152,Administrative & Clerical
Medical Coding Specialist,171,1250,0.1368,Leadership & Strategy
Front Desk,215,1779,0.12085441259134345,Medical & Healthcare
Credit Manager,151,1094,0.1380255941499086,Supply Chain & Logistics
Advertising Manager,195,1370,0.14233576642335766,Law Enforcement
Caller,131,1085,0.12073732718894009,Construction
Phone Sales,11,54,0.2037037037037037,Sales & Marketing
Telesales Representative,145,1049,0.13822688274547187,Hospitality
Accounting Clerk,145,1299,0.11162432640492687,Communication & PR
Administrative Associate,281,2139,0.131369799,Data & IT
Administrative Coordinator,281,2128,0.13204887218045114,Administrative & Clerical
Corporate Receptionist,15,58,0.25862068965517243,Leadership & Strategy
Desk Receptionist,14,56,0.25,Medical & Healthcare
Executive Secretary,159,1176,0.13520408163265307,Supply Chain & Logistics
Front Desk Clerk,223,1801,0.12382009994447529,Law Enforcement
Front Desk Receptionist,225,1803,0.12479201331114809,Construction
Front Office Receptionist,226,1812,0.12472406181015452,Sales & Marketing
Mail Sorter,136,1219,0.11156685808039377,Hospitality
Order Clerk,151,1336,0.11302395209580839,Communication & PR
Medical Coder,109,773,0.1410090556274256,Data & IT
Purchasing Assistant,163,1417,0.1150317572335921,Administrative & Clerical
Supply Technician,121,979,0.12359550561797752,Leadership & Strategy
Android Developer,147,1393,0.10552763819095477,Medical & Healthcare
Ios Developer,148,1394,0.10616929698708752,Supply Chain & Logistics
Chief Of Staff,180,1405,0.12811387900355872,Law Enforcement
Intelligence Analyst,169,1185,0.14261603375527426,Construction
Photo Retoucher,193,1464,0.13183060109289618,Sales & Marketing
Full Charge Bookkeeper,123,858,0.14335664335664336,Hospitality
Grant Accountant,128,886,0.14446952595936793,Communication & PR
Epic Analyst,114,798,0.14285714285714285,Data & IT
It Project Manager,221,1840,0.12010869565217391,Administrative & Clerical
Software Project Manager,175,1442,0.12135922330097088,Leadership & Strategy
Technology Project Manager,175,1443,0.12127512127512127,Medical & Healthcare
Cobol Developer,130,929,0.13993541442411195,Supply Chain & Logistics
Quantitative Analyst,8,46,0.17391304347826086,Law Enforcement
Quantitative Research Analyst,168,1096,0.15328467153284672,Construction
Report Developer,146,969,0.15067079463364294,Sales & Marketing
Sas Developer,133,932,0.1427038626609442,Hospitality
Statistical Analyst,166,1087,0.15271389144434222,Communication & PR
Backend Developer,144,1012,0.1422924901185771,Data & IT
Data Architect,162,1081,0.1498612395929695,Administrative & Clerical
Database Designer,162,1081,0.1498612395929695,Leadership & Strategy
Database Engineer,12,55,0.21818181818181817,Medical & Healthcare
Gis Developer,9,48,0.1875,Supply Chain & Logistics
Informatica Developer,131,925,0.14162162162162162,Law Enforcement
Ui Developer,152,1088,0.13970588235294118,Construction
Ux Developer,9,48,0.1875,Sales & Marketing
Stenographer,8,49,0.16326530612244897,Hospitality
Allocation Analyst,155,1102,0.14065335753176045,Communication & PR
Business Operations Manager,163,1330,0.12255639097744361,Data & IT
Ecommerce,161,1513,0.10641110376734964,Administrative & Clerical
Solar Sales,128,1153,0.11101474414570685,Leadership & Strategy
Developer,139,992,0.14012096774193547,Medical & Healthcare
Javascript Developer,150,1039,0.14436958614051973,Supply Chain & Logistics
Perl Developer,129,927,0.13915857605177995,Law Enforcement
Pega Developer,132,932,0.14163090128755365,Construction
Sap Developer,131,929,0.14101184068891282,Sales & Marketing
Clinical Informatics Specialist,140,996,0.14056224899598393,Hospitality
Cloud Engineer,152,1013,0.15004935834155972,Communication & PR
Data Scientist,180,1091,0.16498625114573787,Data & IT
Database Programmer,160,1022,0.15655577299412915,Administrative & Clerical
Information Assurance,8,46,0.17391304347826086,Leadership & Strategy
Oracle Developer,8,46,0.17391304347826086,Medical & Healthcare
Sql Database Developer,10,49,0.20408163265306123,Supply Chain & Logistics
Sql Developer,10,49,0.20408163265306123,Law Enforcement
Sql Server Developer,10,49,0.20408163265306123,Construction
Teradata Developer,8,46,0.17391304347826086,Sales & Marketing
Net Developer,8,46,0.17391304347826086,Hospitality
Sports Analyst,9,50,0.18,Communication & PR
Chief Of Police,122,1047,0.11652340019102196,Data & IT
Emergency Dispatcher,156,1015,0.15369458128078817,Administrative & Clerical
Investigative Analyst,194,1175,0.1651063829787234,Leadership & Strategy
Police Dispatcher,164,1039,0.15784408084696824,Medical & Healthcare
Polygraph Examiner,101,770,0.13116883116883116,Supply Chain & Logistics
Public Safety Dispatcher,164,1039,0.15784408084696824,Law Enforcement
Regulatory Analyst,183,1105,0.16561085972850678,Construction
Security Consultant,151,986,0.15314401622718052,Sales & Marketing
Embedded Systems Engineer,119,853,0.1395076201641266,Hospitality
Implementation Analyst,178,1156,0.15397923875432526,Communication & PR
Medical Billing Specialist,124,827,0.14993954050785974,Data & IT
Medical Collector,10,52,0.19230769230769232,Administrative & Clerical
Postal Clerk,10,52,0.19230769230769232,Leadership & Strategy
Distribution Clerk,10,52,0.19230769230769232,Medical & Healthcare
Purchasing Buyer,164,1427,0.11492641906096707,Supply Chain & Logistics
Qa Software Tester,127,918,0.1383442265795207,Law Enforcement
Application Developer,151,1045,0.1444976076555024,Construction
Entry Level Developer,151,1033,0.14617618586640851,Sales & Marketing
Front End Developer,159,1104,0.14402173913043478,Hospitality
Front End Engineer,158,1093,0.1445562671546203,Communication & PR
Front End Web Developer,159,1055,0.15071090047393365,Data & IT
Full Stack Developer,154,1044,0.1475095785440613,Administrative & Clerical
J2Ee Developer,141,983,0.14343845371312308,Leadership & Strategy
Robotics Engineer,111,804,0.13805970149253732,Medical & Healthcare
Appointment Scheduler,165,1212,0.13613861386138615,Supply Chain & Logistics
Desk Clerk,120,765,0.1568627450980392,Law Enforcement
Document Processor,178,1448,0.12292817679558012,Construction
Mailroom Clerk,135,1205,0.11203319502074689,Sales & Marketing
Office Cleaner,64,386,0.16580310880829016,Hospitality
Receiving Clerk,149,1307,0.11400153022188217,Communication & PR
Radiologic Technologist,75,549,0.1366120218579235,Data & IT
Radiology Technologist,75,549,0.1366120218579235,Administrative & Clerical
Ultrasound Technician,76,566,0.13427561837455831,Leadership & Strategy
Ultrasound Technologist,76,566,0.13427561837455831,Medical & Healthcare
Electrical Technician,6,45,0.13333333333333333,Supply Chain & Logistics
Flooring Installer,1,2,0.5,Law Enforcement
Technical Marketing Engineer,244,1576,0.1548223350253807,Construction
Web Content Editor,234,1986,0.11782477341389729,Sales & Marketing
Engineering Project Manager,176,1446,0.12171507607192254,Hospitality
Infrastructure Project Manager,176,1448,0.12154696132596685,Communication & PR
Sap Project Manager,10,52,0.19230769230769232,Data & IT
Software Product Manager,181,1472,0.12296195652173914,Administrative & Clerical
Technical Product Manager,183,1474,0.12415196743554953,Leadership & Strategy
Cashier,97,703,0.1379800853485064,Medical & Healthcare
Mystery Shopper,99,671,0.14754098360655737,Supply Chain & Logistics
Infrastructure Architect,148,1304,0.11349693251533742,Law Enforcement
Actuary,131,1251,0.10471622701838529,Construction
Arabic Linguist,113,859,0.13154831199068684,Sales & Marketing
Game Programmer,152,1318,0.11532625189681335,Hospitality
Mortgage Loan Processor,146,1322,0.11043872919818457,Communication & PR
Computational Linguist,139,912,0.1524122807017544,Data & IT
Bank Teller,113,824,0.13713592233009708,Administrative & Clerical
Credit Analyst,169,1398,0.12088698140200287,Leadership & Strategy
Credit Officer,174,1452,0.11983471074380166,Medical & Healthcare
Credit Risk Analyst,171,1119,0.15281501340482573,Supply Chain & Logistics
Credit Specialist,170,1394,0.12195121951219512,Law Enforcement
Financial Analyst,172,1125,0.15288888888888888,Construction
Financial Specialist,174,1127,0.1543921916592724,Sales & Marketing
Fund Accountant,130,874,0.14874141876430205,Hospitality
Payment Processor,149,1316,0.11322188449848024,Communication & PR
Payroll Processor,145,1302,0.11136712749615975,Data & IT
Tax Examiner,134,896,0.14955357142857142,Administrative & Clerical
Clinical Trial Assistant,136,886,0.15349887133182843,Leadership & Strategy
Cad Drafter,125,948,0.13185654008438819,Medical & Healthcare
Business Manager,164,1072,0.15298507462686567,Supply Chain & Logistics
Inpatient Coder,117,752,0.15558510638297873,Law Enforcement
Assistant Branch Manager,130,861,0.15098722415795587,Construction
Front Desk Attendant,126,886,0.14221218961625282,Sales & Marketing
Front Office Clerk,129,926,0.13930885529157666,Hospitality
Administrative Officer,133,865,0.15375722543352602,Communication & PR
Administrative Specialist,134,866,0.15473441108545036,Data & IT
Branch Office Administrator,130,828,0.1570048309178744,Administrative & Clerical
Help Desk,133,1047,0.12702960840496658,Leadership & Strategy
Order Processor,129,927,0.13915857605177995,Medical & Healthcare
Title Clerk,107,704,0.15198863636363635,Supply Chain & Logistics
Warranty Clerk,116,816,0.14215686274509803,Law Enforcement
Crm Analyst,164,1081,0.1517113783533765,Construction
Sales Operations Analyst,157,1053,0.14909781576448244,Sales & Marketing
Freelance,182,1206,0.15091210613598674,Hospitality
Technology,160,1099,0.14558689717925385,Communication & PR
Analog Design Engineer,134,913,0.14676889375684557,Data & IT
Automation Engineer,141,937,0.15048025613660618,Administrative & Clerical
Medical Claims Processor,140,836,0.1674641148325359,Leadership & Strategy
Logistics Clerk,124,1005,0.12338308457711443,Medical & Healthcare
Shipping,107,711,0.15049226441631505,Supply Chain & Logistics
Executive Producer,182,1302,0.13978494623655913,Law Enforcement
.Net Developer,248,1734,0.14302191464821223,Construction
Abap Developer,242,1696,0.14268867924528303,Sales & Marketing
Asp.Net Developer,245,1752,0.13984018264840184,Hospitality
Associate Software Engineer,245,1753,0.13976041072447234,Communication & PR
C Developer,242,1743,0.13884107860011474,Data & IT
C# Developer,248,1731,0.14326978625072212,Administrative & Clerical
Dot Net Developer,249,1735,0.1435158501440922,Leadership & Strategy
Firmware Engineer,238,1635,0.145565749,Medical & Healthcare
Bookkeeper,141,911,0.15477497255762898,Supply Chain & Logistics
Bookkeeping,139,914,0.15207877461706784,Law Enforcement
Commercial Analyst,157,1039,0.15110683349374399,Construction
Commission Analyst,159,1061,0.14985862393967955,Sales & Marketing
Corporate Financial Analyst,162,1056,0.1534090909090909,Hospitality
Cost Accountant,158,1067,0.14807872539831302,Communication & PR
Derivatives Analyst,161,1059,0.15203021718602455,Data & IT
Energy Analyst,164,1066,0.15384615384615385,Administrative & Clerical
Environmental Analyst,164,1067,0.15370196813495782,Leadership & Strategy
Equity Analyst,162,1066,0.15196998123827393,Medical & Healthcare
Equity Research Analyst,162,1066,0.15196998123827393,Supply Chain & Logistics
Equity Research Associate,163,1067,0.1527647610121837,Law Enforcement
Finance Analyst,168,1242,0.13526570048309178,Construction
Finance Specialist,160,1218,0.13136288998357964,Sales & Marketing
Financial Auditor,154,983,0.15666327568667346,Hospitality
Forensic Accountant,157,996,0.1576305220883534,Communication & PR
Certified Professional Coder,129,798,0.16165413533834586,Data & IT
Junior Java Developer,247,1714,0.1441073512252042,Administrative & Clerical
Junior Software Engineer,243,1716,0.14160839160839161,Leadership & Strategy
Operations Research Analyst,174,1119,0.1554959785522788,Medical & Healthcare
Rpg Programmer,217,1279,0.16966379984362784,Supply Chain & Logistics
Clinical Data Analyst,220,1369,0.16070124178232287,Law Enforcement
Database Administrator,241,1372,0.17565597667638483,Construction
Healthcare Data Analyst,230,1609,0.14294592914853946,Sales & Marketing
Mainframe Programmer,226,1354,0.16691285081240767,Hospitality
Oracle Database Developer,242,1424,0.1699438202247191,Communication & PR
Sql Data Analyst,250,1459,0.17135023989033585,Data & IT
Armored Truck Driver,28,227,0.12334801762114538,Administrative & Clerical
Correctional Officer,37,280,0.13214285714285715,Leadership & Strategy
Deputy Director,122,829,0.1471652593486128,Medical & Healthcare
Forensic Chemist,54,423,0.1276595744680851,Supply Chain & Logistics
Safety Consultant,73,765,0.095424837,Law Enforcement
Security Dispatcher,84,774,0.10852713178294573,Construction
Cad Operator,123,921,0.13355048859934854,Sales & Marketing
Cad Technician,124,922,0.13449023861171366,Hospitality
Game Artist,190,1453,0.1307639366827254,Communication & PR
Radiology Assistant,68,480,0.14166666666666666,Data & IT
Sonographer,57,412,0.1383495145631068,Administrative & Clerical
Ultrasonographer,59,438,0.13470319634703196,Leadership & Strategy
Vascular Sonographer,57,434,0.1313364055299539,Medical & Healthcare
Vascular Technician,57,434,0.1313364055299539,Supply Chain & Logistics
Vascular Technologist,57,434,0.1313364055299539,Law Enforcement
X Ray Technician,59,437,0.13501144164759726,Construction
Cleaner,6,27,0.2222222222222222,Sales & Marketing
Hospital Housekeeping,8,33,0.24242424242424243,Hospitality
Assembly Operator,59,495,0.1191919191919192,Communication & PR
Electronic Assembler,59,497,0.11871227364185111,Data & IT
Line Operator,58,488,0.11885245901639344,Administrative & Clerical
Survey Researcher,165,1079,0.15291936978683968,Leadership & Strategy
Web Content Manager,322,2266,0.14210061782877317,Medical & Healthcare
Electrical Drafter,123,920,0.13369565217391305,Supply Chain & Logistics
Structural Designer,130,965,0.13471502590673576,Law Enforcement
Medical Biller,137,832,0.16466346153846154,Construction
Sales Associate,169,1197,0.14118629908103592,Sales & Marketing
Business Banking Relationship Manager,166,1126,0.14742451154529307,Hospitality
Janitor,9,138,0.065217391,Communication & PR
Autocad Drafter,162,1598,0.10137672090112641,Data & IT
Assistant Director,135,989,0.1365015166835187,Administrative & Clerical
Executive Personal Assistant,128,1018,0.12573673870333987,Leadership & Strategy
Pricing Specialist,164,1163,0.1410146173688736,Medical & Healthcare
Ticket Agent,93,834,0.11151079136690648,Supply Chain & Logistics
Contract Specialist,162,1161,0.13953488372093023,Law Enforcement
Freelancer,120,974,0.12320328542094455,Construction
Requirements Analyst,180,1595,0.11285266457680251,Sales & Marketing
Seo Consultant,166,1338,0.12406576980568013,Hospitality
Seo Manager,166,1334,0.12443778110944528,Communication & PR
Seo Specialist,168,1356,0.12389380530973451,Data & IT
Creative Project Manager,169,1604,0.10536159600997506,Administrative & Clerical
Erp Project Manager,162,1497,0.10821643286573146,Leadership & Strategy
Healthcare Project Manager,169,1539,0.10981156595191682,Medical & Healthcare
Product Manager,195,1732,0.1125866050808314,Supply Chain & Logistics
Project Consultant,183,1636,0.11185819070904646,Law Enforcement
Project Manager,190,1686,0.11269276393831554,Construction
Customer Assistant,167,1340,0.12462686567164179,Sales & Marketing
Drafter,165,1622,0.10172626387176326,Hospitality
Junior Architect,148,1581,0.093611638,Communication & PR
Space Planner,162,1553,0.10431423052157116,Data & IT
Truss Designer,160,1521,0.1051939513477975,Administrative & Clerical
Urban Planner,164,1559,0.10519563822963438,Leadership & Strategy
Insurance Sales,135,1031,0.1309408341416101,Medical & Healthcare
Insurance Sales Representative,135,1031,0.1309408341416101,Supply Chain & Logistics
Life Insurance Agent,133,1025,0.12975609756097561,Law Enforcement
Java Software Engineer,110,796,0.13819095477386933,Construction
Java Web Developer,110,796,0.13819095477386933,Sales & Marketing
Junior Developer,114,810,0.14074074074074075,Hospitality
Performance Analyst,176,1339,0.13144137415982077,Communication & PR
Risk Management Analyst,197,1658,0.11881785283474065,Data & IT
Salesforce Business Analyst,208,1694,0.12278630460448642,Administrative & Clerical
Data Analyst,217,1405,0.15444839857651246,Leadership & Strategy
Database Architect,170,1564,0.10869565217391304,Medical & Healthcare
Health Data Analyst,206,1372,0.15014577259475217,Supply Chain & Logistics
Sql Dba,147,1447,0.10158949550794748,Law Enforcement
Sql Server Dba,148,1455,0.10171821305841924,Construction
Shipping Clerk,141,1102,0.1279491833030853,Sales & Marketing
Timekeeper,97,843,0.11506524317912219,Hospitality
Administration,108,879,0.12286689419795221,Communication & PR
Administrative Director,120,937,0.128068303,Data & IT
Assistant Administrator,119,926,0.1285097192224622,Administrative & Clerical
Compliance Analyst,187,1309,0.14285714285714285,Leadership & Strategy
Front Desk Coordinator,105,855,0.12280701754385964,Medical & Healthcare
Office Clerk,98,822,0.1192214111922141,Supply Chain & Logistics
Operations Clerk,108,890,0.12134831460674157,Law Enforcement
Procurement Clerk,115,907,0.12679162072767364,Construction
Receiver,50,311,0.1607717041800643,Sales & Marketing
Registration Clerk,85,710,0.11971830985915492,Hospitality
Registration Specialist,90,756,0.11904761904761904,Communication & PR
Unit Secretary,96,834,0.11510791366906475,Data & IT
Healthcare Business Analyst,206,1671,0.12327947336923997,Administrative & Clerical
Surgery Scheduler,81,815,0.099386503,Leadership & Strategy
Post Office,73,516,0.14147286821705427,Medical & Healthcare
Demand Planner,154,1120,0.1375,Supply Chain & Logistics
Logistics Coordinator,158,1201,0.1315570358034971,Law Enforcement
Procurement Agent,156,1123,0.13891362422083706,Construction
Purchasing Coordinator,158,1201,0.1315570358034971,Sales & Marketing
Shipping Coordinator,160,1175,0.13617021276595745,Hospitality
Supply Chain Coordinator,157,1200,0.13083333333333333,Communication & PR
Supply Coordinator,156,1196,0.13043478260869565,Data & IT
Assignment Editor,148,1187,0.12468407750631845,Administrative & Clerical
Front Desk Agent,108,878,0.12300683371298406,Leadership & Strategy
Radio Operator,124,890,0.1393258426966292,Medical & Healthcare
Manual Qa Tester,121,1053,0.11490978157644824,Supply Chain & Logistics
Manual Tester,121,1016,0.11909448818897637,Law Enforcement
Coldfusion Developer,108,735,0.1469387755102041,Construction
Computer Scientist,118,779,0.1514762516046213,Sales & Marketing
Drupal Developer,108,776,0.13917525773195877,Hospitality
Java,103,740,0.13918918918918918,Communication & PR
Java Developer,109,769,0.14174252275682706,Data & IT
Java Engineer,110,796,0.13819095477386933,Administrative & Clerical
Java Programmer,110,796,0.13819095477386933,Leadership & Strategy
Java Software Developer,110,796,0.13819095477386933,Medical & Healthcare
Home Inspector,69,521,0.1324376199616123,Supply Chain & Logistics
Biomedical Engineer,102,732,0.13934426229508196,Law Enforcement
Biotechnology,97,694,0.13976945244956773,Construction
Environmental Engineer,115,757,0.15191545574636725,Sales & Marketing
Industrial Organizational Psychologist,90,685,0.13138686131386862,Hospitality
Accounts Payable,154,1154,0.13344887348353554,Communication & PR
Auditor,162,1260,0.12857142857142856,Data & IT
Budget Analyst,165,1165,0.14163090128755365,Administrative & Clerical
Collection Agent,173,1283,0.1348402182385035,Leadership & Strategy
Collection Representative,181,1646,0.10996354799513973,Medical & Healthcare
Collection Specialist,184,1663,0.1106434155141311,Supply Chain & Logistics
Collections Specialist,184,1663,0.1106434155141311,Law Enforcement
Compliance Auditor,190,1329,0.14296463506395787,Construction
Cost Controller,195,1655,0.11782477341389729,Sales & Marketing
Credit Controller,192,1647,0.11657559198542805,Hospitality
Debt Collector,182,1357,0.13411938098747236,Communication & PR
Exchange Engineer,149,1158,0.12867012089810018,Data & IT
Financial Engineer,192,1635,0.11743119266055047,Administrative & Clerical
Financial Examiner,192,1325,0.1449056603773585,Leadership & Strategy
Loan Closer,178,1593,0.11173885750156937,Medical & Healthcare
Mortgage Closer,149,1193,0.12489522212908634,Supply Chain & Logistics
Mortgage Loan Closer,149,1193,0.12489522212908634,Law Enforcement
Processor,131,1133,0.11562224183583407,Construction
Trader,161,1479,0.10885733603786342,Sales & Marketing
Treasury Accountant,183,1563,0.11708253358925144,Hospitality
Clinical Analyst,201,1666,0.12064825930372149,Communication & PR
Meter Reader,28,240,0.11666666666666667,Data & IT
Gas Station Attendant,28,239,0.11715481171548117,Administrative & Clerical
Lactation Consultant,72,540,0.13333333333333333,Leadership & Strategy
Ticket Taker,54,349,0.15472779369627507,Medical & Healthcare
Usher,52,355,0.14647887323943662,Supply Chain & Logistics
911 Dispatcher,133,1008,0.13194444444444445,Law Enforcement
911 Operator,133,1007,0.1320754716981132,Construction
Fingerprint Technician,116,1076,0.10780669144981413,Sales & Marketing
Forensic Examiner,125,1385,0.090252708,Hospitality
Forensic Scientist,129,1396,0.092406877,Communication & PR
Intelligence,148,1439,0.10284920083391244,Data & IT
Military Analyst,168,1517,0.11074489123269611,Administrative & Clerical
Safety Coordinator,1,2,0.5,Leadership & Strategy
Security Technician,117,854,0.13700234192037472,Medical & Healthcare
Skip Tracer,103,745,0.138255034,Supply Chain & Logistics
Information Analyst,155,1192,0.13003355704697986,Law Enforcement
Information Specialist,153,1186,0.12900505902192244,Construction
Network Systems Administrator,126,1371,0.09190372,Sales & Marketing
Senior Systems Engineer,129,1344,0.095982143,Hospitality
Software Engineer,133,1342,0.099105812,Communication & PR
Systems Administrator,132,1398,0.094420601,Data & IT
Systems Analyst,168,1558,0.10783055198973042,Administrative & Clerical
Unix Administrator,125,1355,0.092250923,Leadership & Strategy
Unix System Administrator,121,1340,0.090298507,Medical & Healthcare
Vmware Administrator,125,1355,0.092250923,Supply Chain & Logistics
Windows Administrator,121,812,0.14901477832512317,Law Enforcement
Windows System Administrator,121,812,0.14901477832512317,Construction
Registered Dental Assistant,42,360,0.11666666666666667,Sales & Marketing
Registered Medical Assistant,43,364,0.11813186813186813,Hospitality
Surgical Assistant,44,375,0.11733333333333333,Communication & PR
Carpet Cleaner,6,133,0.045112781954887216,Data & IT
Custodian,8,151,0.052980132450331126,Administrative & Clerical
General Laborer,9,138,0.065217391,Leadership & Strategy
Housekeeping Attendant,9,138,0.065217391,Medical & Healthcare
Assembly Line Worker,39,315,0.12380952380952381,Supply Chain & Logistics
Assembly Worker,37,303,0.12211221122112212,Law Enforcement
Forklift,22,166,0.13253012048192772,Construction
Master Control Operator,120,1201,0.099916736,Sales & Marketing
Curriculum Designer,170,1325,0.12830188679245283,Hospitality
Curriculum Specialist,164,1213,0.13520197856553998,Communication & PR
Epic Trainer,109,900,0.12111111111111111,Data & IT
Virtual Teacher,121,1037,0.11668273866923819,Administrative & Clerical
3D Modeler,204,1735,0.11757925072046109,Leadership & Strategy
Compositor,193,1696,0.11379716981132075,Medical & Healthcare
Fx Artist,190,1638,0.115995116,Supply Chain & Logistics
Game Developer,211,1781,0.1184727681078046,Law Enforcement
Accessioner,46,410,0.11219512195121951,Construction
Autopsy Assistant,37,347,0.10662824207492795,Sales & Marketing
Certified Surgical Technologist,43,378,0.11375661375661375,Hospitality
Contact Tracing,94,604,0.15562913907284767,Communication & PR
Director Of Nursing,72,622,0.1157556270096463,Data & IT
Design Engineer,143,1047,0.13658070678127984,Administrative & Clerical
Business Management Consultant,143,984,0.14532520325203252,Leadership & Strategy
General Labor,19,409,0.046454768,Medical & Healthcare
General Worker,19,409,0.046454768,Supply Chain & Logistics
Tax Analyst,161,1162,0.13855421686746988,Law Enforcement
Appointment Setter,116,1026,0.11306042884990253,Construction
Survey Technician,101,809,0.12484548825710753,Sales & Marketing
Accountant,117,966,0.12111801242236025,Hospitality
Claims Auditor,127,947,0.1341077085533263,Communication & PR
Loan Underwriter,121,949,0.12750263435194942,Data & IT
Tax Accountant,130,1026,0.1267056530214425,Administrative & Clerical
Coding Specialist,138,1094,0.12614259597806216,Leadership & Strategy
Biztalk Developer,138,1072,0.1287313432835821,Medical & Healthcare
Report Analyst,182,1339,0.13592233009708737,Supply Chain & Logistics
Revenue Cycle Analyst,149,1055,0.14123222748815165,Law Enforcement
Cloud Architect,142,1039,0.136669875,Construction
Data Technician,145,1037,0.1398264223722276,Sales & Marketing
